epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,0.9620710148130145,0.7244285714285714,0.6105533056259155,0.9443333333333334,0.0001,372.8132209777832
2,0.557810344355447,0.9186428571428571,0.42099783245722455,0.967,0.0001,368.8198208808899
3,0.24030348253250122,0.9943571428571428,0.21219036130110422,0.9996666666666667,5e-05,906.8015539646149
4,0.21568309347970144,0.9997142857142857,0.20921476952234905,1.0,5e-05,911.2191019058228
5,0.2106246463741575,0.9998571428571429,0.20511275525887807,1.0,5e-05,953.4592378139496
6,0.2080616626058306,1.0,0.20433000747362773,1.0,5e-05,997.5464630126953
7,0.2059806193283626,1.0,0.20326089441776277,1.0,5e-05,938.5584719181061
8,0.205782155922481,0.9998571428571429,0.20274552170435586,1.0,5e-05,932.3625109195709
9,0.2045728428704398,0.9999285714285714,0.20241975712776183,1.0,5e-05,932.5092957019806
10,0.20364131259918214,1.0,0.20255869030952453,1.0,5e-05,986.2279133796692
